Sample_name,Length
TT14,5.5
TT15,6.3
TT12,6.8
TT05,6.3
TT27,6.5
TT06,8.9
TT32,8.7
TP14,8.6
TT33,9
TT02,9.2
TT11,9.5
TT16,9.9
TT04,10.1
TT13,10.1
TP05,10
TT03,10.4
TT29,10.7
TT10,11
TP02,11.4
CM04,14.7
TT21,10.8
TT22,11.1
TT24,11.5
TT23,12.5
TP16,11.4
TT30,13.5
CM08,17.5
TT20,11.5
TT07,12.3
CM09,17.2
TT01,15
TT28,12.7
TT09,15
TT31,15
TP03,11.5
CM06,18.1
TP06,14.3
CM10,18.3
CM02,18.9
CM03,18.9
CM11,18.9
CM12,20.1
CM05,23.4
YL01,17.9
TT17,18.8
CM01,21.2
CM07,16.4
CM15,18.4
CM13,18.5
CM14,21.3
TP37,11.8
CM16,22.4
PH08,14.7
PH07,16.6
PH10,16.8
PH13,18.9
TT08,12.5
TP01,12.8
TP25,12.8
TP13,12.9
PH02,19.3
PH03,20.8
PH01,21
PH04,22
PH05,23.8
PH14,22.5
PH27,10.8
TP22,12.9
PH19,15.4
PH21,16.5
PH17,18.8
PH26,19.9
PH22,20.6
PH16,21.1
TT26,27.5
PH30,21.3
PH24,22.4
W24,16.3
W14,20.9
WA031,20.1
WA09,25.1
TP27,12.9
TP39,12.9
TP50,13.1
TP29,13.3
TP10,13.4
WA04,25.9
TP43,13.5
TP24,14.5
TP15,14.9
TP47,15
TP21,15.2
TP04,15.3
TP45,15.3
TP19,15.6
TP28,15.6
TP44,15.7
TP26,16.2
TP11,16.3
WA05,26.1
TP23,41.8
TP08,16.7
TT18,17
TP36,17.7
TP46,17.8
TT19,18
TT25,18
WA02,28.9
WA06,29.2
TP32,18.5
TP33,18.6
TP38,18.6
TP40,18.7
TP34,18.8
TP41,18.8
TP20,18.9
YL02,20.3
TP07,20.5
WA07,31.2
TP48,21.3
TP49,21.3
TP09,21.8
WA01,25.3
TP35,23
WA08,29.4
TP51,35.4
KT02,10.5
KT04,12
KT05,10.5
KT06,15
KT07,27
KT08,11.4
KT09,17.2
KT10,11.2
KT12,10
KT13,10.4
KT14,17.6
KT15,25.9
KT16,12.8
KT17,22.5
KT18,13.9
KT31,10.1
KT32,20.2
KT33,17.6
KT34,13.4
KT35,11.3
KT36,12.9
KT37,6.3
KT38,16.8
KT39,26
KT40,11.6
KT41,12.7
KT42,18.1
KT43,12
KT44,25.3
KT45,12.2
KT46,18.2
KT47,18.4
KT48,13.5
KT49,13.2
KT50,45.5
DS13,9.7
DS01,10.3
DS16,12.7
DS10,14.3
DS17,13.7
DS26,16.5
DS29,15.4
DS03,16.2
DS09,18
DS04,18.7
DS11,18.9
DS02,16.5
DS22,17
DS14,19.2
DS12,17.5
DS27,18.2
DS15,18.6
DS21,20.5
DS25,20.2
DS20,20.3
DS23,22
DS19,21
DS24,23.5
DS06,24.3
DS05,21.5
DS18,25.3
DS28,23.2
DS08,23.5
DS07,24
LD03,12
LD10,17.6
LD15,7.8
GS01,7
GS02,16
GS03,12.3
GS04,17.9
GS05,19
GS19,20.5
GS18,21
GS06,21.5
GS20,7.3
GS17,22.8
GS10,24
GS09,25
GS16,18
HL01,26.1
HL02,24.7
HL03,16.5
HL04,19.2
HL05,19.5
KT01,18
KT22,12.2
KT20,12.7
KT19,15
KT21,16.1
KT23,11
KT28,15
KT26,24.6
KT24,21.5
KT27,25.2
KT30,16.8
LD42,10
LD43,8.2
LD39,9.7
LD40,14.6
LD41,15
LD22,8
LD17,9.5
LD24,8.7
LD25,6.6
LD16,9.6
LD19,8.2
LD21,9.8
LD20,10
LD18,10.5
LD23,11.6
LD26,12
LD27,16.2
LD35,6.2
LD34,6.5
LD38,7.5
LD29,7.4
LD37,8.4
LD28,9.7
LD33,10.8
LD30,10.9
LD32,10.9
LD36,12
LD31,13.5
LD57,18.2
LD55,8
LD56,7.9
LD46,11.5
LD50,12
LD45,12.3
LD53,12.5
LD49,13
LD54,13.2
LD47,20.9
LD51,15
LD48,15.2
LD52,18.3
LD58,20
LD44,20.3
LD60,8.7
LD62,8.7
LD61,11.3
LD63,13.8
LD59,13.2
G25,17.3
G14,18.7
G29,15.8
LD11,12.2
LD14,14.6
LD08,15.1
LD06,12.3
LY08,4.5
LY19,6
LY15,6.2
LY11,6.4
LY05,7
LY23,6.5
LY07,9
LY34,6.5
LY09,10.8
LY01,6.8
LY06,7.2
LY13,4.9
LY57,7.2
LY14,7.3
LY21,7.7
LY36,7.7
LY02,7.8
LY16,7.8
LY59,8.2
LY33,9
LY22,4.8
LY04,9.1
LY24,7.6
LY51,9.1
LY61,9.2
LY31,9.5
LY20,9.7
LY39,9.7
LY45,9.7
LY12,9.9
LY18,10
LY27,10.2
LY49,10.2
LY03,10.5
LY46,10.8
LY17,11
LY28,11
LY29,11
LY53,11
LY42,11.1
LY47,11.3
LY52,11.3
LY32,11.7
LY55,11.7
LY43,12.1
LY40,12.3
LY41,12.4
LY25,12.5
LY50,5.3
LY35,12.5
LY38,13
LY54,13
LY60,13.3
LY44,13.5
LY56,15.9
LY48,13.5
LY30,14.3
LY26,14.5
LY37,15.7
LY62,19.6
NE01,12.4
NE02,8.5
OK04,2.7
OK06,8.3
OK22,9.2
OK09,4.2
OK28,4.6
OK12,8.4
OK07,9.6
OK21,8.9
OK37,5
OK02,9.5
OK13,10
OK14,10
OK10,10.2
OK08,10.5
OK16,11.6
OK15,12
OK19,12.6
OK18,13
OK30,13
OK17,13.7
OK03,23
OK05,6.6
OK25,7
OK26,7
OK27,17
OK31,8.1
OK29,6.7
OK20,19.4
OK24,9
OK32,13.2
OK36,9.3
OK01,9.2
OK39,5.5
XL01,7.5
XL02,7.7
XL03,7.8
XL04,7.5
XL29,8.7
XL37,11.2
XL09,8.8
XL38,9.3
XL27,8.2
XL10,9
XL15,12
XL06,12.5
XL14,26
XL12,30
XL05,9.5
XL21,32
XL24,9.5
XL36,9
XL40,9.8
XL34,10
XL20,10.2
XL46,10.2
XL22,11.5
XL49,12.3
XL23,10.5
XL41,10.5
XL33,11
XL47,11.1
XL13,35
XL31,14.5
XL43,11.2
XL50,14.5
XL11,11.4
XL35,11.6
XL25,12.8
XL39,13.1
XL42,13.4
XL45,17
XL44,17.2
XL26,15
XL48,20.5
XL08,23.5